title,desc,source,date
陳佩琪臉書再發文 指柯P是「政壇受虐兒」,最近受虐兒新聞不少，台北市長柯文哲妻子陳佩琪今（19）天也在臉書po文，表示「政壇也有虐兒事件」，說的是柯文哲。她說2016年初大選之後，柯P莫名其妙挨揍，民調就是這樣一路被打趴。「有人期待選後我們能大人有大量，對於過去的一切『船過水無痕』， 不這樣就是心胸狹窄，請問我們是失智了？」用字相當辛辣，文,NewTalk.tw,2019-01-19
科丝美诗推出微生物抗衰老化妆品,,Joins,2019-04-10
想防範失智症 加強運動與避免抽菸,世界衛生組織（WHO）今天發布首份防治失智症的衛教指南，並說防範認知能力下降的首要之務就是勤運動。,芋傳媒,2019-05-15
【圖表】長照隱憂：老伴兼當看護比例急升，一天工作逾14小時,"長期照顧生活自理困難的親屬，往往會讓照顧者累積生活的壓力，這些壓力能如何紓解呢？本文以資料呈現台灣家庭長期照顧的部分面貌，以及介紹可以讓照顧者喘息的長照服務。 標籤: 長照, 老年照顧, 老人狀況, 照顧服務, 養老, 高齡化, 失智, 失能, 臨時住宿",NewsLens,2018-12-22
副總統：建構優質平價普及長照 減輕家屬負擔,副總統陳建仁今天表示，台灣人口快速老化，長照需求迫切，為了讓長照永續發展，政府致力於建構優質、平價、普及的長照體系，以減輕家屬照顧負擔。,芋傳媒,2019-06-26
环境局计划未来10年 四地段将规划为殡仪馆场地,环境局昨天（1月8日）发文告说，随着我国居民死亡的人数增加，丧礼空间的需求也会逐年提升，到了2040年，预计每年死亡的人数会达约4万人，政府因此必须提早规划发展相关设施。随着我国人口老龄化，对殡葬设施及服务的需求预料会增加，国家环境局因此计划在未来约10年将四个地段发展为新的殡仪馆场地。,Zaobao,2019-01-09
遊戲與醫界聯手投入防老 施振榮樂當白老鼠,高齡化社會，如何翻轉老化、預防失智成為當前重要的議題。台灣三大電玩遊戲軟體業者宣布與陽明大學攜手投入「遊戲防老」的醫學研究，智榮基金會董事長施振榮樂當白老鼠。,芋傳媒,2019-01-09
一臉自信說著別人聽不懂的話：中風造成的「流利型失語症」是怎麼回事？,"失語症的聽力並沒有受損，有問題的地方在於把聽到的語音變成能夠理解的概念。而說話也是，並不是患者忘記了那些詞彙的概念，而是轉化成語言的過程受損了。這是與失智症非常大的不同。語音和語詞的理解或提取路徑的障礙，這些是語言治療師要重新訓練患者的地方。 標籤: 失語症, 中風, 語言治療師, 流利型失語症",NewsLens,2019-05-30
《我決定好好活到死》：當畢生研究大腦的神經科學家，被診斷出「思覺失調症」,"雖然我們還是不太清楚，我的大腦當時究竟出了什麼狀況，這一切又是從何而起，但是這段大腦失控的歲月，無疑給了我一個寶貴的機會，親身體悟大腦結構與「人類心智」之間令人屏息的奧祕。 標籤: 我決定好好活到死, 一位腦科學家對抗大腦病變的奇蹟之旅, Barbara K. Lipska, Elaine McArdle, 思覺失調症, 黑色素瘤, 精神疾病, 神經科學, 腦瘤, 人類心智, 失智症",NewsLens,2019-05-30
《想想論壇》邁入超高齡社會 安倍政府推動老年就業給台灣的啟示,全球老齡化嚴重。台灣在 2018 年，高齡人口（65 歲以上人口）比例已超過 14%，正式邁入高齡（aged）社會。依據國發會推估，台灣將在 2026 年邁入「超高齡社會（super-aged，高齡人口比例超過 20%）」。老化速度，甚至遠快於日本。,芋傳媒,2019-06-29
國研院長照結合AI論壇 智慧照護機器人討論度高,人口老化使得長照議題越來越受重視，國研院人工智慧產學研聯盟結合成大、中山舉辦長照趨勢論壇，智慧照護及智慧機器人受到關注，可望帶動南台灣智慧長照發展趨勢。,芋傳媒,2019-06-29
走訪新竹市巷弄長照站，長照2.0落實了「在地老化」這個核心價值嗎？,"自2017年以來，政府推動長照2.0已邁向第三年，長照C站的營運狀況目前如何呢？從居住在竹市的年輕族群觀點出發，除了描繪現行長照C站的問題並嘗試提出建議之外，我們也在最後提出對於老年生活的美好想像。 標籤: 高齡化, 長照2.0, 巷弄長照站, 初級預防, 臨托中心, 衛生所, 在地老化, 菩提長青村, 長照資源",NewsLens,2019-06-29
那霸的“厨房”牧志公设市场 于临时店铺中开始营业：朝日新聞中文网,位于冲绳县那霸市的第一牧志公设市场，因老化正在进行改建施工。1日上午，该市场在转入临时店铺后已开始营业。新市场将于2022年度(2022年4月至2023年3月)开业，在此之前，将于临时组装的2层建筑临时店铺中营业。,Asahi,2019-07-03
低端人口驅離後北京人統計一少二老,根據一份今天發布的北京人口藍皮書，北京處於超低生育率水準，並有人口老化加劇、二人戶家庭是主流及人口總數下降等人口發展趨勢。調查也發現北京市外來人口、戶籍人口呈雙降。,RFI.fr,2018-12-10
