title,desc,source,date
陳佩琪臉書再發文 指柯P是「政壇受虐兒」,最近受虐兒新聞不少，台北市長柯文哲妻子陳佩琪今（19）天也在臉書po文，表示「政壇也有虐兒事件」，說的是柯文哲。她說2016年初大選之後，柯P莫名其妙挨揍，民調就是這樣一路被打趴。「有人期待選後我們能大人有大量，對於過去的一切『船過水無痕』， 不這樣就是心胸狹窄，請問我們是失智了？」用字相當辛辣，文,NewTalk.tw,2019-01-19
从2012年至今 本地有11起耳念珠菌病例通报,目前正在全球散播，具抗药性也证实会致命的耳念珠菌引起全球各地密切关注。卫生部透露，从2012年至今，本地公共医院共向卫生部通报了11起孤立和偶发性耳念珠菌感染病例，其中两人过世，其余九人已康复。卫生部也说，未接获耳念珠菌感染病例在本地爆发疫情的通报。《纽约时报》早前报道，这种名为“耳念珠菌”的新型抗药性细菌席卷全球。该细菌会攻击免疫系统衰弱的病人，并在医疗机构内进行“侵入式”传播。,Zaobao,2019-04-10
科丝美诗推出微生物抗衰老化妆品,,Joins,2019-04-10
女佣对雇主不满 捏女婴抓伤男婴 判监12周,不满女雇主不让她印度尼西的家人通电话，也不满女雇主的母亲为小事骂她，24岁女佣把气发泄在14个月的龙凤胎身上，捏女婴抓伤男婴，故意弄他们嚎啕大哭，让女雇主的母亲“手忙脚乱”，殊不知自己的一举一动已被客厅的电眼拍下。来自印尼的女佣丝里（Sri Rahmawati，24岁），案发时已在雇主家工作一年，负责照顾女雇主的一对龙凤胎。,Zaobao,2019-04-10
特朗普总统签署“亚裔及太平洋岛民后裔美国人经济赋权”政令,美国总统特朗普星期一签署了“亚裔及太平洋岛民后裔美国人经济赋权”政令，以促进改善他们的生活质量、提高家庭及社区的生活水平、以及更充分地参与经济活动。,VOA,2019-05-15
想防範失智症 加強運動與避免抽菸,世界衛生組織（WHO）今天發布首份防治失智症的衛教指南，並說防範認知能力下降的首要之務就是勤運動。,芋傳媒,2019-05-15
【圖表】長照隱憂：老伴兼當看護比例急升，一天工作逾14小時,"長期照顧生活自理困難的親屬，往往會讓照顧者累積生活的壓力，這些壓力能如何紓解呢？本文以資料呈現台灣家庭長期照顧的部分面貌，以及介紹可以讓照顧者喘息的長照服務。 標籤: 長照, 老年照顧, 老人狀況, 照顧服務, 養老, 高齡化, 失智, 失能, 臨時住宿",NewsLens,2018-12-22
副總統：建構優質平價普及長照 減輕家屬負擔,副總統陳建仁今天表示，台灣人口快速老化，長照需求迫切，為了讓長照永續發展，政府致力於建構優質、平價、普及的長照體系，以減輕家屬照顧負擔。,芋傳媒,2019-06-26
中国生物科技公司花大价钱取得外国新药许可,中国生物科技公司正积极寻找可供开发和商业化的临床前阶段候选药物，去年跨境许可交易达到164笔，是5年前的两倍多。,FT,2019-06-26
环境局计划未来10年 四地段将规划为殡仪馆场地,环境局昨天（1月8日）发文告说，随着我国居民死亡的人数增加，丧礼空间的需求也会逐年提升，到了2040年，预计每年死亡的人数会达约4万人，政府因此必须提早规划发展相关设施。随着我国人口老龄化，对殡葬设施及服务的需求预料会增加，国家环境局因此计划在未来约10年将四个地段发展为新的殡仪馆场地。,Zaobao,2019-01-09
遊戲與醫界聯手投入防老 施振榮樂當白老鼠,高齡化社會，如何翻轉老化、預防失智成為當前重要的議題。台灣三大電玩遊戲軟體業者宣布與陽明大學攜手投入「遊戲防老」的醫學研究，智榮基金會董事長施振榮樂當白老鼠。,芋傳媒,2019-01-09
哪些食疗助缓解感冒症状？,感冒了，哪些食疗可助缓解症状、加速康复？余仁生中医诊所宏茂桥与三巴旺高级中医师黄春祥和余仁生新加坡合格草药师洪徕财建议：■薏米绿豆汤 清热祛暑 作用：绿豆和薏米有清热祛暑的功效。薏苡仁（中国薏米）味甘淡，性凉，具有利水渗透湿、健脾止泻的功效。一周食用2至3次可除体内湿热，也有助于促进消化功能。,Zaobao,2019-01-09
英富豪天生不育 却“生”3儿子,英国一名富豪和妻子离婚后，发现自己原来天生遗传一种疾病，根本不可能生育，但他和前妻的婚姻期间却生下了3名儿子，而且均已成年。他的前妻承认当年曾和他人通奸，但却否认儿子是他人的。这名男子告上法庭，法院判前妻需向他赔偿25万英镑（约43万新元）的欺骗补偿。现年55岁商人梅森和54岁女子凯特2006年离婚，当时他们育有3名儿子，大儿子今年已21岁，另外一对双胞胎现在已19岁。梅森在2016年一次医疗检查时，发现他患有囊性纤维化遗传病，天生不可能生育。,Zaobao,2019-01-09
母怀孕晕倒 4岁儿用siri叫救伤车,“喂，Siri，召救护车。”英国威尔斯一名29岁孕妇奥斯汀早前在家中因为药物副作用而不适晕倒，其4岁稚子不但未有惊慌失措，更懂得以手机内置的人工智能召来救护车，令母亲及时获救。男童的机警行为受到盛赞，获当地救伤队颁发奖状嘉许。,Zaobao,2018-12-18
研究：巴西猪肉存在抗生素抗药性细菌,一项研究显示，巴西零售商所供应的猪肉产品含有对抗生素产生抗药性的细菌，这是对食用牲畜过度使用药物的潜在证据。“世界动物保护协会”（WAP）资助的这项研究报告由圣保罗大学进行。除了巴西，他们也对另外三个国家的猪肉进行检测。在家乐福、GPA超市、沃尔玛取得的100份猪肉样品中，他们发现，“所有样品都广泛存在抗生素抗药性细菌。”,Zaobao,2018-12-18
关节炎治疗药物Invossa被吊销许可应成为韩生物产业契机,,Joins,2019-05-30
一臉自信說著別人聽不懂的話：中風造成的「流利型失語症」是怎麼回事？,"失語症的聽力並沒有受損，有問題的地方在於把聽到的語音變成能夠理解的概念。而說話也是，並不是患者忘記了那些詞彙的概念，而是轉化成語言的過程受損了。這是與失智症非常大的不同。語音和語詞的理解或提取路徑的障礙，這些是語言治療師要重新訓練患者的地方。 標籤: 失語症, 中風, 語言治療師, 流利型失語症",NewsLens,2019-05-30
《我決定好好活到死》：當畢生研究大腦的神經科學家，被診斷出「思覺失調症」,"雖然我們還是不太清楚，我的大腦當時究竟出了什麼狀況，這一切又是從何而起，但是這段大腦失控的歲月，無疑給了我一個寶貴的機會，親身體悟大腦結構與「人類心智」之間令人屏息的奧祕。 標籤: 我決定好好活到死, 一位腦科學家對抗大腦病變的奇蹟之旅, Barbara K. Lipska, Elaine McArdle, 思覺失調症, 黑色素瘤, 精神疾病, 神經科學, 腦瘤, 人類心智, 失智症",NewsLens,2019-05-30
《想想論壇》邁入超高齡社會 安倍政府推動老年就業給台灣的啟示,全球老齡化嚴重。台灣在 2018 年，高齡人口（65 歲以上人口）比例已超過 14%，正式邁入高齡（aged）社會。依據國發會推估，台灣將在 2026 年邁入「超高齡社會（super-aged，高齡人口比例超過 20%）」。老化速度，甚至遠快於日本。,芋傳媒,2019-06-29
美参议院通过7500亿美元国防政策法案 对抗中国全球影响力,"美国参议院本周四通过一项7,500亿美元的国防政策法案，其中包括从技术转让到合成鸦片类药物销售等的一系列针对中国的条款，以对抗中国日益增长的全球影响力。   这部长达973页的国防授权法案(NDAA)以86对8票获得通过。法案",RFA,2019-06-29
國研院長照結合AI論壇 智慧照護機器人討論度高,人口老化使得長照議題越來越受重視，國研院人工智慧產學研聯盟結合成大、中山舉辦長照趨勢論壇，智慧照護及智慧機器人受到關注，可望帶動南台灣智慧長照發展趨勢。,芋傳媒,2019-06-29
走訪新竹市巷弄長照站，長照2.0落實了「在地老化」這個核心價值嗎？,"自2017年以來，政府推動長照2.0已邁向第三年，長照C站的營運狀況目前如何呢？從居住在竹市的年輕族群觀點出發，除了描繪現行長照C站的問題並嘗試提出建議之外，我們也在最後提出對於老年生活的美好想像。 標籤: 高齡化, 長照2.0, 巷弄長照站, 初級預防, 臨托中心, 衛生所, 在地老化, 菩提長青村, 長照資源",NewsLens,2019-06-29
那霸的“厨房”牧志公设市场 于临时店铺中开始营业：朝日新聞中文网,位于冲绳县那霸市的第一牧志公设市场，因老化正在进行改建施工。1日上午，该市场在转入临时店铺后已开始营业。新市场将于2022年度(2022年4月至2023年3月)开业，在此之前，将于临时组装的2层建筑临时店铺中营业。,Asahi,2019-07-03
低端人口驅離後北京人統計一少二老,根據一份今天發布的北京人口藍皮書，北京處於超低生育率水準，並有人口老化加劇、二人戶家庭是主流及人口總數下降等人口發展趨勢。調查也發現北京市外來人口、戶籍人口呈雙降。,RFI.fr,2018-12-10
智能技术为老旧的基础设施带来新生命,极端天气和海平面上升正在给自然界和我们用来管理废水的基础设施带来压力。重建老化的基础设施是昂贵的，因此国家科学基金会的研究正在教授旧基础设施处理新问题的新技巧。,VOA,2019-05-23
全台首間貓犬醫療室 助流浪動物救治,公立動物收容所零安樂死上路後，動物量及老化疾病問題增加。中興大學獸醫院，利用教育部的經費，成立全台第一間提供流浪貓犬的專用醫療室。...,PTS.org.tw,2019-05-23
美国校园枪击案幸存者在20年后自杀身亡,一名20年前科罗拉多州科伦拜中学校园枪击事件的幸存者自杀身亡。对奥斯丁·尤班克斯的尸检报告正在进行，在20年前经历枪击事件并且亲眼目睹自己的好朋友被杀后他一直在与阿片类药物成瘾斗争。,VOA,2019-05-23
攬才先解決居住問題 台大貸款16億於校外土地興建240戶教師宿舍,台大校長管中閔上任後，力拼留才、攬才。台灣大學今日宣布，為解決教職員宿舍不足、影響人才任教意願問題，將貸款16億經費，於14處校外土地興建240戶宿舍，以提昇教職員居住品質、增加人才到校任教意願。台灣大學今日發布新聞稿指出，面臨師資老化趨勢，年輕教師比率偏低，人才問題迫在眉睫，校,風傳媒,2019-04-17
跟著課程一起變老：淺談社區大學作為在地安老的一種設計,"在國家因應高齡化社會挹注長照、社福、教育資源，試圖開創發展「新」的「活躍老化」、「青銀共創」的社會參與模式之際，本文透過本人在社大的參與觀察與社會實踐，探索在地經營甚久的「老」社大作為在地老化「巷弄站」、「柑仔店」的可能性。 標籤: 高齡化, 人口老化, 安養照顧, 情境老化, 終身學習, 在地安老, 老年文化, 文化照顧",NewsLens,2019-04-17
六岁女吃面误吞蛋壳 食道被划伤,小蛋壳，险夺命！辽宁沈阳一名6岁何姓女童，星期四（10日）在家吃鸡蛋面时，不慎将一块蛋壳吞下，结果卡在食道中。医生检查时，发现蛋壳卡在大动脉上方，且食道已被划伤，情况十分危险，幸医生最终亦成功取出蛋壳，女孩已脱离危险。何父忆述，女儿当时吃完面条后，即觉得喉咙疼痛，他便带女儿求医。主诊医生表示，他为女孩检查时，发现女孩的食道已被严重划伤，蛋壳更不断扎向大动脉，两者仅隔了一层食道粘膜。由于蛋壳十分坚强，医生需要把蛋壳用钳子碎成4块，才逐一取出。目前，女孩已逐步康复。,Zaobao,2019-01-13
加拿大大開移民之門 三年內擬收百萬新移民,當反移民浪潮席捲西方國家之際，加拿大反其道而行.因應人口老化、生育率低迷，加拿大有意大開移民之門，未來三年讓逾百萬名外籍人士獲得永久居留權。,TWNews,2019-01-13
多次同时进出医院 两亲家公同天逝世,病重的父亲和岳父数月来多次同时进出医院，儿子媳妇两头奔波照顾亲人，如今两个亲家公同年同月同日过世，让儿子媳妇一夜间痛失两至亲。陈忠和（47岁）的父亲陈亚吉（82岁，环保业），与妻子林秀香（48岁，家庭主妇）的父亲林容（80岁，退休罗厘司机）分别在20日早上9时和晚上11时相继过世。,Zaobao,2019-01-24
更多急诊医院与社区医院合作 无须再“转来转去” 病患可在同个地方复健,樟宜综合医院内的康复综合院设有次急诊病房，由院方的专科医生辅助圣安德烈社区医院的团队。需要全面而较慢速治疗的病患，无需先进入樟宜综合医院才转介到次急诊病房，避免被“转来转去”的麻烦。本地有越来越多急诊医院和社区医院改变作业方式，以病人需求为本，让病患尽可能在同个地方就医；若有必要在急诊医院、次急诊病房或社区医院之间转介，不同医院的医生和护士等医疗团队也会相互合作。,Zaobao,2019-02-11
